raw_url	canonical_id_or_url	date_checked	decision	reason
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/10084418	centris:10084418	2026-07-16	rejected	Exact address geocoded to H4G 1R8 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/11003404	centris:11003404	2026-07-16	accepted	Duplicate of existing accepted row in docs
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/11413280	centris:11413280	2026-07-16	rejected	Exact address geocoded to H8N 1T9, outside H4H/H8P
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/11803407	centris:11803407	2026-07-16	rejected	Exact address geocoded to H8N 1N8 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/12250986	centris:12250986	2026-07-16	rejected	Detail page confirms 800 sqft under 900 sqft
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/12341735	centris:12341735	2026-07-16	rejected	Exact address geocoded to H8N 1T8 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/12809215	centris:12809215	2026-07-16	rejected	Detail page shows 881 sqft, below 900 sqft minimum
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/12816886	centris:12816886	2026-07-16	rejected	Detail page confirms 760 sqft under 900 sqft
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/13084867	centris:13084867	2026-07-16	rejected	Detail page shows 850 sqft, below 900 sqft minimum
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/13699668	centris:13699668	2026-07-16	rejected	Exact address geocoded to H4G 1A6 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/13764527	centris:13764527	2026-07-16	rejected	Exact address geocoded to H8R 2A5 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/13884809	centris:13884809	2026-07-16	rejected	Exact address geocoded to H8N 1Y7 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/13971055	centris:13971055	2026-07-16	accepted	Exact address geocoded to H8P 2Y9 and detail shows 3 bedrooms with no below-grade wording
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/14305191	centris:14305191	2026-07-16	rejected	Exact address geocoded to H3E 1X2 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/14485930	centris:14485930	2026-07-16	accepted	Duplicate of existing accepted row in docs
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/14704474	centris:14704474	2026-07-16	rejected	Card data states 1 bedroom, rejected without detail fetch
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/16393878	centris:16393878	2026-07-16	rejected	Detail page says 1 bedroom in basement
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/16444829	centris:16444829	2026-07-16	rejected	Exact address geocoded to H4G 3M3 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/17977197	centris:17977197	2026-07-16	rejected	Exact address geocoded to H8R 2A5 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/17997104	centris:17997104	2026-07-16	rejected	Exact address geocoded to H8N 2X2 wrong postal prefix
https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/18362839	centris:18362839	2026-07-16	rejected	Exact address geocoded to H4G 3M3 wrong postal prefix
